,F10A3,F10A5,F10B3,F10B5,F10C1,F10C3,F10C4,F10D1,F10D5,F10E3,F10E5,F10F1,F10F3,F10F5,F10G2,F11A3,F11A6,F11B1,F11B2,F11B5,F11C2,F11D1,F11D2,F11D4,F11G3,F11G4,F12B1,F12B2,F12B3,F12C6,F12D4,F12E1,F12E4,F12E5,F12E6,F12F1,F12F5,F12G1,F15A3,F15A5,F15A6,F15B5,F15C5,F15C6,F15C8,F15D1,F15D2,F15E1,F15E2,F15E4,F15E5,F15E7,F15F1,F15F3,F15F5,F15F6,F15F8,F15H1,F15H5,F16A2,F16A4,F16A5,F16B1,F16B2,F16B3,F16B6,F16C1,F16D6,F16F4,F16G3,F16G4,F16G6,F17A7,F17B1,F17B7,F17C1,F17C2,F17C7,F17D6,F17E6,F17E7,F17F3,F17F5,F17G3,F17G5,F18B2,F18B4,F18C4,F18D2,F18E1,F18E2,F18F2,F3F1,F5A2,F5A4,F5B1,F5B2,F5B3,F5B4,F5C1,F5C2,F5D1,F5E2,F5E4,F5F2,F5G2,F6A4,F6B2,F6B4,F6C2,F6C4,F6D2,F6E2,F6E4,F6F2,F6F4,F6G2,F6G3,F7A3,F7A6,F7B1,F7B2,F7B4,F7B5,F7B6,F7C1,F7C2,F7C6,F7D2,F7D3,F7D4,F7D6,F7E2,F7E6,F7F2,F7F3,F7F6,F7G2,F7G5,F8A1,F8A2,F8B2,F8B4,F8B5,F8C5,F8D3,F8D4,F8E6,F8G1,F8G2,F9A2,F9A3,F9A4,F9A5,F9B4,F9B6,F9C5,F9D3,F9D6,F9F2,F9F3,F9G3
F10A3,1.0,0.0,1.0,0.17500000000000004,0.0,0.275,0.4,0.4545454545454546,1.0,1.0,0.22499999999999998,0.19999999999999996,0.5714285714285714,0.5,0.65,0.22499999999999998,0.2857142857142857,0.6666666666666667,0.3571428571428571,0.0,0.17500000000000004,0.37142857142857144,0.6,0.6086956521739131,0.4666666666666667,0.0,0.0,0.0,0.7777777777777778,0.4444444444444444,0.0,0.19999999999999996,0.7142857142857143,0.6666666666666667,0.5,0.0,0.19999999999999996,0.6,0.0,0.25,0.43999999999999995,0.0,0.5294117647058824,0.4,0.4736842105263158,0.41025641025641024,0.4666666666666667,0.44999999999999996,0.33333333333333337,0.6,0.5,0.6111111111111112,0.0,1.0,0.6,0.0,0.5,0.6666666666666667,0.5833333333333333,1.0,0.16666666666666663,0.275,0.33333333333333337,0.4482758620689655,0.5714285714285714,0.5263157894736843,0.6666666666666667,0.7142857142857143,0.0,1.0,0.5,0.42105263157894735,0.5625,0.5625,0.4285714285714286,0.4,0.4285714285714286,0.23076923076923073,0.7142857142857143,0.5,0.0,0.5,0.33333333333333337,0.2777777777777778,0.2142857142857143,0.6,0.5,0.5,0.6666666666666667,0.6666666666666667,0.4,0.5,0.22499999999999998,0.5714285714285714,0.5555555555555556,0.475,0.4242424242424242,0.625,0.4444444444444444,0.7142857142857143,0.5,0.33333333333333337,1.0,0.4285714285714286,0.33333333333333337,0.33333333333333337,0.22499999999999998,0.0,0.5,0.6,0.4736842105263158,0.9,0.52,0.4285714285714286,0.5,0.0,1.0,0.0,0.75,0.19999999999999996,0.19999999999999996,1.0,0.2222222222222222,0.0,0.4545454545454546,0.0,0.5,0.5,0.5,0.0,0.5769230769230769,1.0,0.8,1.0,1.0,0.125,1.0,1.0,0.25,0.6,0.0,0.25,1.0,0.375,0.5277777777777778,0.5263157894736843,1.0,0.1428571428571429,0.6666666666666667,0.75,0.0,0.5,0.0,0.19999999999999996,1.0,0.38888888888888884,0.7142857142857143,0.375,0.4444444444444444,0.5,0.46153846153846156,0.19999999999999996
F10A5,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
F10B3,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F10B5,0.17500000000000004,0.0,0.0,1.0,0.0,0.1333333333333333,0.0,0.09090909090909094,0.0,0.0,0.13559322033898302,0.10909090909090913,0.1428571428571429,0.125,0.17500000000000004,0.10909090909090913,0.2857142857142857,0.0,0.0714285714285714,0.0,0.14754098360655743,0.11428571428571432,0.09999999999999998,0.04347826086956519,0.1333333333333333,0.0,0.0,0.0,0.0,0.11111111111111116,0.0,0.12962962962962965,0.1428571428571429,0.0,0.09999999999999998,0.0,0.13461538461538458,0.19999999999999996,0.0,0.25,0.19999999999999996,0.0,0.0,0.0,0.10526315789473684,0.07692307692307687,0.16666666666666663,0.09999999999999998,0.0,0.0,0.1428571428571429,0.11111111111111116,0.0,0.0,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.07843137254901966,0.5,0.2068965517241379,0.1428571428571429,0.10526315789473684,0.0,0.1428571428571429,0.0,0.0,0.09999999999999998,0.1578947368421053,0.1875,0.125,0.2857142857142857,0.16000000000000003,0.1428571428571429,0.0,0.2857142857142857,0.0,0.0,0.09999999999999998,0.05555555555555558,0.05555555555555558,0.0,0.15000000000000002,0.0714285714285714,0.25,0.16666666666666663,0.2666666666666667,0.19999999999999996,0.33333333333333337,0.10526315789473684,0.1428571428571429,0.0,0.16326530612244894,0.18181818181818177,0.125,0.2222222222222222,0.0,0.25,0.0,0.0,0.2857142857142857,0.16666666666666663,0.33333333333333337,0.12903225806451613,0.0,0.0,0.0,0.21052631578947367,0.09999999999999998,0.19999999999999996,0.1428571428571429,0.0714285714285714,0.33333333333333337,0.0,0.0,0.0,0.1071428571428571,0.12698412698412698,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.11538461538461542,0.0,0.0,0.0,0.0,0.10606060606060608,0.0,0.0,0.25,0.2666666666666667,0.0,0.0,0.0,0.0980392156862745,0.13888888888888884,0.1842105263157895,0.0,0.2857142857142857,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.11111111111111116,0.05555555555555558,0.1923076923076923,0.06666666666666665
F10C1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
F10C3,0.275,0.0,0.0,0.1333333333333333,0.0,1.0,0.5,0.24242424242424243,0.0,0.0,0.2033898305084746,0.23636363636363633,0.0,0.125,0.22499999999999998,0.21818181818181814,0.1428571428571429,0.1333333333333333,0.2142857142857143,0.19999999999999996,0.18333333333333335,0.2857142857142857,0.30000000000000004,0.17391304347826086,0.16666666666666663,0.0,0.0,1.0,0.2222222222222222,0.11111111111111116,0.0,0.2222222222222222,0.2857142857142857,0.2222222222222222,0.19999999999999996,0.0,0.21153846153846156,0.0,0.0,0.0,0.19999999999999996,0.0,0.23529411764705888,0.19999999999999996,0.26315789473684215,0.20512820512820518,0.19999999999999996,0.25,0.33333333333333337,0.8,0.0714285714285714,0.13888888888888884,0.0,1.0,0.09999999999999998,0.0,0.0,0.33333333333333337,0.5,0.0,0.6666666666666667,0.27450980392156865,0.33333333333333337,0.31034482758620685,0.1428571428571429,0.1578947368421053,0.33333333333333337,0.1428571428571429,1.0,0.0,0.5,0.1578947368421053,0.1875,0.0625,0.1428571428571429,0.19999999999999996,0.0,0.3846153846153846,0.0,0.0,0.0,0.19999999999999996,0.4444444444444444,0.38888888888888884,0.3571428571428571,0.30000000000000004,0.2142857142857143,0.0,0.16666666666666663,0.19999999999999996,0.19999999999999996,0.0,0.24561403508771928,0.0,0.11111111111111116,0.20408163265306123,0.303030303030303,0.0,0.11111111111111116,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.21666666666666667,0.0,0.5,0.19999999999999996,0.1578947368421053,0.09999999999999998,0.12,0.2857142857142857,0.3571428571428571,0.0,0.0,0.0,0.25,0.2142857142857143,0.19999999999999996,0.0,0.11111111111111116,0.0,0.5454545454545454,0.0,0.0,0.16666666666666663,0.0,0.5,0.3076923076923077,0.0,0.0,0.0,0.0,0.1333333333333333,0.0,0.0,0.0,0.19999999999999996,0.33333333333333337,0.25,0.0,0.23529411764705888,0.25,0.23684210526315785,0.0,0.2857142857142857,0.33333333333333337,0.25,0.0,0.25,0.0,0.5,0.0,0.0,0.1428571428571429,0.0,0.0,0.16666666666666663,0.15384615384615385,0.4
F10C4,0.4,1.0,1.0,0.0,0.0,0.5,1.0,0.09999999999999998,1.0,1.0,0.19999999999999996,0.09999999999999998,0.8571428571428572,0.75,0.9,0.0,0.8571428571428572,1.0,0.6,1.0,0.09999999999999998,0.4,1.0,0.6,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.19999999999999996,0.7142857142857143,0.6666666666666667,0.7,1.0,0.19999999999999996,0.9,1.0,1.0,1.0,1.0,0.7,1.0,0.7,0.5,0.7,0.8,0.0,0.8,0.8,0.7,1.0,1.0,0.7,1.0,1.0,0.5555555555555556,0.4,0.75,0.5,0.09999999999999998,0.8333333333333334,0.7,1.0,0.7,1.0,1.0,1.0,1.0,0.7,0.6,1.0,0.8,1.0,0.6,0.7142857142857143,0.30000000000000004,0.8571428571428572,1.0,1.0,0.8,0.5,0.09999999999999998,0.6,0.6,0.7,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6,0.7,0.875,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19999999999999996,1.0,0.5,1.0,1.0,0.9,1.0,0.7,0.7,1.0,1.0,1.0,0.75,0.0,0.0,1.0,1.0,1.0,0.4,0.0,1.0,1.0,1.0,0.0,0.7,1.0,1.0,1.0,1.0,0.09999999999999998,1.0,1.0,0.75,1.0,1.0,0.75,1.0,0.4,0.6,0.8,1.0,0.8571428571428572,0.5,1.0,0.0,0.75,0.0,0.6,1.0,0.7,0.8,1.0,0.8888888888888888,0.6,0.7,0.7
F10D1,0.4545454545454546,1.0,1.0,0.09090909090909094,0.0,0.24242424242424243,0.09999999999999998,1.0,1.0,0.0,0.303030303030303,0.303030303030303,0.0,0.0,0.696969696969697,0.36363636363636365,0.4285714285714286,0.33333333333333337,0.0,0.0,0.09090909090909094,0.4545454545454546,0.9,0.4347826086956522,0.6,0.0,0.0,0.0,0.7777777777777778,0.0,1.0,0.36363636363636365,0.5714285714285714,0.2222222222222222,0.0,0.0,0.24242424242424243,0.1333333333333333,1.0,0.0,0.96,0.0,0.23529411764705888,1.0,0.631578947368421,0.7575757575757576,0.6333333333333333,0.8,0.0,0.4,0.2142857142857143,0.6666666666666667,1.0,1.0,0.25,1.0,0.0,0.0,0.0,0.5,0.33333333333333337,0.5757575757575757,0.8333333333333334,0.8620689655172413,0.8571428571428572,0.052631578947368474,1.0,0.2857142857142857,1.0,0.0,0.19999999999999996,0.10526315789473684,0.875,0.0625,0.8571428571428572,0.6,0.5714285714285714,0.23076923076923073,0.4285714285714286,0.5,1.0,0.6,0.5,0.2222222222222222,0.5714285714285714,0.15000000000000002,0.4285714285714286,0.0,1.0,0.9333333333333333,0.19999999999999996,0.33333333333333337,0.18181818181818177,1.0,0.7777777777777778,0.6363636363636364,0.8484848484848485,0.375,0.8888888888888888,0.8571428571428572,0.75,0.6666666666666667,1.0,0.7142857142857143,0.8333333333333334,1.0,0.36363636363636365,1.0,0.0,0.8,0.8947368421052632,0.30000000000000004,0.96,0.0,0.7142857142857143,0.33333333333333337,1.0,0.5,0.5,0.1515151515151515,0.12121212121212122,0.0,0.8888888888888888,1.0,0.0,0.0,0.5,0.33333333333333337,0.0,0.0,0.46153846153846156,0.0,0.19999999999999996,0.0,0.0,0.09090909090909094,0.0,0.0,0.0,0.8,0.0,0.75,0.0,0.6060606060606061,0.7272727272727273,0.7575757575757576,1.0,0.7142857142857143,0.5,0.5,0.0,0.25,0.0,0.19999999999999996,1.0,0.5555555555555556,0.3571428571428571,0.0,0.11111111111111116,0.3939393939393939,0.7692307692307692,0.6
F10D5,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
F10E3,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
